Stations: Seattle Duwamish Vly,
QMUs: Pm2.5 Nephelometer | Barometric Pressure | Light Scatter eco_9003_2 | Nitric Oxide (NO_CAPS) | Nitrogen Dioxide (NO2_CAPS) | NItrogen Oxides (NOx_CAPS) | Pm10 MetOne Bam | Pm2.5 Black Carbon_633 | Pm2.5 MetOne Bam | Pm2.5 Partisol  (daily) | Pm2.5 Partisol  (daily) collocated | Pm2.5 uv Absorbance_633 | Temperature | Visual Range | Wind Direction Sonic | Wind Speed Sonic,
Aggregates: 1-Hour Average,
Query Start Date: 4/28/2026 ,
Query End Date: 5/13/2026,
File Creation Date: 5/13/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - AmbPres - kPa - 1Hr Avg,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - NO_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NO2_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NOx_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - Pm10MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25bc - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25uv - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Temp - degF - 1Hr Avg,Seattle Duwamish Vly - VisualRange - miles - 1Hr Avg,Seattle Duwamish Vly - WD Sonic - deg(frm N) - 1Hr Avg,Seattle Duwamish Vly - WS Sonic - mph - 1Hr Avg
5/6/2026 6:00:00 PM,3.3000000000,1021.0000000000,0.1150000000,1.7750000000,6.2000000000,7.9970000000,11.0000000000,0.3880000000,3.8000000000,0.4300000000,59.0000000000,98.0000000000,201.0000000000,5.7000000000
5/6/2026 7:00:00 PM,3.9000000000,1021.0000000000,0.1390000000,0.0890000000,1.6000000000,1.6920000000,14.4000000000,0.1350000000,5.3000000000,0.1660000000,58.0000000000,90.0000000000,202.0000000000,6.0000000000
5/6/2026 8:00:00 PM,3.8000000000,1021.0000000000,0.1350000000,0.1210000000,2.8000000000,3.0130000000,12.5000000000,0.2150000000,4.3000000000,0.2450000000,56.0000000000,90.0000000000,173.0000000000,2.0000000000
5/6/2026 9:00:00 PM,5.2000000000,1022.0000000000,0.1840000000,0.6340000000,4.4000000000,5.0850000000,14.0000000000,0.2520000000,6.6000000000,0.3510000000,56.0000000000,76.0000000000,193.0000000000,3.3000000000
5/6/2026 10:00:00 PM,6.6000000000,1021.0000000000,0.2350000000,0.3370000000,4.8000000000,5.1940000000,15.3000000000,0.1630000000,7.2000000000,0.2260000000,55.0000000000,65.0000000000,171.0000000000,3.2000000000
5/6/2026 11:00:00 PM,6.8000000000,1021.0000000000,0.2410000000,0.1180000000,2.7000000000,2.8250000000,14.6000000000,0.1220000000,8.8000000000,0.1650000000,55.0000000000,64.0000000000,162.0000000000,3.4000000000
5/7/2026 12:00:00 AM,7.3000000000,1022.0000000000,0.2570000000,0.0240000000,3.7000000000,3.7470000000,22.4000000000,0.1520000000,6.3000000000,0.1910000000,54.0000000000,62.0000000000,187.0000000000,2.5000000000
5/7/2026 1:00:00 AM,7.2000000000,1022.0000000000,0.2540000000,0.4420000000,5.4000000000,5.8900000000,22.0000000000,0.2080000000,7.4000000000,0.2480000000,53.0000000000,62.0000000000,195.0000000000,1.5000000000
5/7/2026 2:00:00 AM,8.1000000000,1022.0000000000,0.2880000000,0.2060000000,7.7000000000,7.9880000000,21.8000000000,0.3690000000,8.9000000000,0.4350000000,54.0000000000,57.0000000000,154.0000000000,1.7000000000
5/7/2026 3:00:00 AM,7.7000000000,1021.0000000000,0.2720000000,0.4540000000,5.9000000000,6.3700000000,22.1000000000,0.3160000000,10.6000000000,0.3490000000,54.0000000000,59.0000000000,172.0000000000,3.6000000000
